건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
29042.54,13.49,2,18.89,11400,삼성서울병원,,0050,4,20230410,0,,0,"의료시설, 근린생활시설, 교육연구시설",0,0,,0,0,0,2835,0,0,0,,0000,,10,09000,의료시설,11680-74,11401,81.0,116803122009,0.0,0,1,신대장,서울특별시 강남구 일원로 81,0,15,0,0,153747,0,서울특별시 강남구 일원동 50번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,343314.54,2850,,96.01,147613.46
16258.7,49,1,4.14,11400,탄천물재생센터,,0580,0,20211019,0,,0,분뇨.쓰레기처리시설,0,0,,80,0,0,0,0,0,0,,0000,,20,30000,자원순환관련시설,11680-100242129,,0.0,,0.0,0,1,신대장,,6449,556,0,0,392671,0,서울특별시 강남구 일원동 580번지,,,,,,,1,일반,1,총괄표제부,2,11680,,,30474.85,556,,6.14,24090.84
9204.675,0,0,0,11400,일원동우성7차아파트,,0615,0,20220822,0,,0,주거시설,0,0,,802,0,0,0,0,0,0,,0000,,17,02000,공동주택,11680-169,11401,15.0,116804166041,0.0,0,0,구대장,서울특별시 강남구 개포로110길 15,0,0,0,0,0,0,서울특별시 강남구 일원동 615번지,,,,,,,2,집합,1,총괄표제부,3,11680,,,82165.705,0,,0,74892.135
3611.43,729.3,1,0,11400,개포한신아파트,,0615,0,20171206,0,,0,주거시설,0,0,,364,0,0,0,0,0,0,,0001,,5,02000,공동주택,11680-168,11401,43.0,116804166041,0.0,0,0,구대장,서울특별시 강남구 개포로110길 43,0,0,0,0,0,0,서울특별시 강남구 일원동 615-1번지,,,,,,,2,집합,1,총괄표제부,4,11680,,,42259.1,0,,0,37487.94
3862.48,0,0,24.19,11400,,,0617,0,20220510,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,3,10000,교육연구시설,11680-100308164,11401,21.0,116803122009,0.0,0,1,신대장,서울특별시 강남구 일원로 21,0,0,0,0,15970.2,0,서울특별시 강남구 일원동 617번지,,,,,,,1,일반,1,총괄표제부,5,11680,,,18992.22,0,,75.05,11985.4
1401.78,0,0,0,11400,,,0626,0,20171206,0,,0,주거시설,0,0,,80,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-170,11401,27.0,116804166045,0.0,0,0,구대장,서울특별시 강남구 개포로124길 27,0,0,0,0,0,0,서울특별시 강남구 일원동 626번지,,,,,,,2,집합,1,총괄표제부,6,11680,,,8019.74,0,,0,7008.9
11925.088,54728.458,13,23.37,11400,상록 스타힐스,,0688,0,20230412,0,1+,94,공동주택(아파트),0,76,1,1703,8,49601.977,1613,0,0,0,,0000,,13,02000,공동주택,11680-1000000000000000413634,11405,16.0,116802122002,0.0,0,1,신대장,서울특별시 강남구 영동대로 16,0,5,0,0,51020.2,0,서울특별시 강남구 일원동 688번지,,,,,,,2,집합,1,총괄표제부,7,11680,,,184881.291,1618,,259.92,132613.461
10969.04,149.94,7,13.78,11400,수서1단지아파트,,0711,0,20220822,0,,0,주거시설 근린생활시설,0,0,,2934,0,0,0,0,0,0,,0000,,22,02000,공동주택,11680-177,11401,6.0,116804166557,0.0,0,0,구대장,서울특별시 강남구 양재대로55길 6,0,0,0,0,79603,0,서울특별시 강남구 일원동 711번지,,,,,,,2,집합,1,총괄표제부,8,11680,,,157121.09,0,,189.55,150889.89
8798.92,0,0,25.29,11400,목련타운,,0716,0,20211110,0,,0,주거시설 근린생활시설,0,0,,650,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-180,11401,15.0,116804166071,0.0,0,0,구대장,서울특별시 강남구 광평로19길 15,0,0,0,0,34790,0,서울특별시 강남구 일원동 716번지,,,,,,,2,집합,1,총괄표제부,9,11680,,,92505.72,0,,248.25,86365.65
7917.08,0,0,23.85,11400,샘터마을아파트,,0718,0,20230313,0,,0,주거시설 근린생활시설,0,0,,628,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-220,11401,120.0,116803122009,0.0,0,0,구대장,서울특별시 강남구 일원로 120,0,0,0,0,33201,0,서울특별시 강남구 일원동 718번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,88550.254,0,,247.32,82111.44
6872.814,0,0,20.7,11400,푸른마을아파트,,0719,0,20211020,0,,0,주거시설 근린생활시설,0,0,,930,0,0,0,0,0,0,,0000,,12,02000,공동주택,11680-221,11401,25.0,116804166705,0.0,0,0,구대장,서울특별시 강남구 일원로14길 25,0,0,0,0,33201,0,서울특별시 강남구 일원동 719번지,,,,,,,2,집합,1,총괄표제부,11,11680,,,88164.487,0,,248.35,82456.01
24109.068,0,0,51.29,11400,한솔마을,,0731,0,20220311,0,,0,주거시설 근린생활시설 노유자시설,0,0,,570,0,0,0,0,0,0,,0000,,21,02000,공동주택,11680-224,11401,6.0,116804166070,0.0,0,0,구대장,서울특별시 강남구 광평로10길 6,0,0,0,0,47008,0,서울특별시 강남구 일원동 731번지,,,,,,,2,집합,1,총괄표제부,12,11680,,,62080.178,0,,108.02,50776.404
14599.97,0,0,23.73,11400,상록수아파트,,0734,0,20190126,0,,0,주거시설 근린생활시설,0,0,,740,0,0,0,0,0,0,,0000,,23,02000,공동주택,11680-225,11401,15.0,116804166070,0.0,0,0,구대장,서울특별시 강남구 광평로10길 15,0,0,0,0,61530,0,서울특별시 강남구 일원동 734번지,,,,,,,2,집합,1,총괄표제부,13,11680,,,81914.07,0,,109.16,67163.36
11463.2,0,0,27.91,11400,가람아파트,,0735,0,20171118,0,,0,아파트,0,0,,496,0,0,0,0,0,0,,0000,,14,02000,공동주택,11680-227,11401,127.0,116803122009,0.0,0,0,구대장,서울특별시 강남구 일원로 127,0,0,0,0,41067.48,0,서울특별시 강남구 일원동 735번지,,,,,,,2,집합,1,총괄표제부,14,11680,,,54358.97,0,19930309,109.2,44847.2
7646.24,0,0,30.53,11400,청솔빌리지,,0739,0,20220222,0,,0,공동주택,0,0,,291,0,0,0,0,0,0,,0000,,14,02000,공동주택,11680-231,11401,50.0,116804166070,0.0,0,0,구대장,서울특별시 강남구 광평로10길 50,0,0,0,0,25045,0,서울특별시 강남구 일원동 739번지,,,,,,,2,집합,1,총괄표제부,15,11680,,,29001.72,0,,89.45,22402.68
9904.39,57950.01,9,25.67,11400,래미안 개포 루체하임,,0741,1,20220506,87,1,121.4,공동주택(아파트),0,75,1,850,5,54178.04,1296,0,0,0,,0000,,13,02000,공동주택,11680-100279783,,0.0,,0.0,0,1,신대장,,0,0,0,0,38587.6,0,서울특별시 강남구 일원동 741번지,20141027,5809,재건축협의(주택건설사업계획승인),3220000,강남구,2014,2,집합,1,총괄표제부,16,11680,,20160421,154730.26,1296,20181121,249.99,96465.07
2276.04,15810.49,9,26.59,11400,디에이치 포레센트,,0742,0,20210609,0,,0,공동주택(아파트),0,0,,184,0,14066.32,327,0,0,0,,0000,,4,02000,공동주택,11680-100301863,,0.0,,0.0,0,1,신대장,,0,0,0,0,8558.3,0,서울특별시 강남구 일원동 742번지,20170615,5809,재건축협의(주택건설사업계획승인),3220000,강남구,2017,2,집합,1,총괄표제부,17,11680,,20181023,37045.21,327,,249.9,21386.87
18610.13,141423.67,13,28.81,11400,디에이치 자이 개포,,0743,0,20220614,0,,0,공동주택(아파트),0,0,,1996,75,127619.22,3239,0,0,0,,0000,,21,02000,공동주택,11680-100303203,11405,22.0,116802122002,0.0,0,1,신대장,서울특별시 강남구 영동대로 22,0,0,0,0,64598.4,0,서울특별시 강남구 일원동 743번지,20171212,2101,주택건설사업계획승인,3220173,주택과,2017,2,집합,1,총괄표제부,18,11680,,20180222,364700.14,3239,20210730,336.99,219131.79
