지점,지점명,일시,기온(°C),강수량(mm)
108,서울,2023-08-21 00:00,27.1,
108,서울,2023-08-21 01:00,26.8,
108,서울,2023-08-21 02:00,26.6,
108,서울,2023-08-21 03:00,26.4,
108,서울,2023-08-21 04:00,26.3,0
108,서울,2023-08-21 05:00,26.2,0
108,서울,2023-08-21 06:00,26.1,0
108,서울,2023-08-21 07:00,26.3,
108,서울,2023-08-21 08:00,27.4,
108,서울,2023-08-21 09:00,28.8,
108,서울,2023-08-21 10:00,30.2,
108,서울,2023-08-21 11:00,31.1,
108,서울,2023-08-21 12:00,32.3,
108,서울,2023-08-21 13:00,32.7,
108,서울,2023-08-21 14:00,33.5,
108,서울,2023-08-21 15:00,33,
108,서울,2023-08-21 16:00,31.5,0
108,서울,2023-08-21 17:00,31.4,
108,서울,2023-08-21 18:00,31.3,
108,서울,2023-08-21 19:00,30.7,
108,서울,2023-08-21 20:00,29.9,
108,서울,2023-08-21 21:00,29.7,
108,서울,2023-08-21 22:00,29.4,
108,서울,2023-08-21 23:00,29.1,
108,서울,2023-08-22 00:00,28.7,
108,서울,2023-08-22 01:00,28.4,
108,서울,2023-08-22 02:00,28.5,
108,서울,2023-08-22 03:00,28.4,
108,서울,2023-08-22 04:00,28.2,
108,서울,2023-08-22 05:00,27.7,0
108,서울,2023-08-22 06:00,27.4,
108,서울,2023-08-22 07:00,27.6,
108,서울,2023-08-22 08:00,28,
108,서울,2023-08-22 09:00,27.9,.3
108,서울,2023-08-22 10:00,28.2,0
108,서울,2023-08-22 11:00,28,.3
108,서울,2023-08-22 12:00,29.6,0
108,서울,2023-08-22 13:00,31,
108,서울,2023-08-22 14:00,32.1,
108,서울,2023-08-22 15:00,29.1,0
108,서울,2023-08-22 16:00,28.6,.3
108,서울,2023-08-22 17:00,28.7,.4
108,서울,2023-08-22 18:00,26.4,27.6
108,서울,2023-08-22 19:00,26.6,5.6
108,서울,2023-08-22 20:00,26.3,
108,서울,2023-08-22 21:00,26.2,.5
108,서울,2023-08-22 22:00,26.2,5.5
108,서울,2023-08-22 23:00,25.9,2.1
108,서울,2023-08-23 00:00,26,
108,서울,2023-08-23 01:00,25.9,0
108,서울,2023-08-23 02:00,25.8,0
108,서울,2023-08-23 03:00,25.9,0
108,서울,2023-08-23 04:00,25.9,0
108,서울,2023-08-23 05:00,25.7,0
108,서울,2023-08-23 06:00,25.8,0
108,서울,2023-08-23 07:00,25.7,.1
108,서울,2023-08-23 08:00,26.3,0
108,서울,2023-08-23 09:00,26.8,0
108,서울,2023-08-23 10:00,27.2,0
108,서울,2023-08-23 11:00,25.8,1.9
108,서울,2023-08-23 12:00,25.3,5.2
108,서울,2023-08-23 13:00,24.2,13.3
108,서울,2023-08-23 14:00,24.3,5.4
108,서울,2023-08-23 15:00,24.3,9.1
108,서울,2023-08-23 16:00,24.1,3.3
108,서울,2023-08-23 17:00,24.1,1.9
108,서울,2023-08-23 18:00,23.7,.1
108,서울,2023-08-23 19:00,23.7,.2
108,서울,2023-08-23 20:00,23.7,.5
108,서울,2023-08-23 21:00,23.7,.1
108,서울,2023-08-23 22:00,23.5,.7
108,서울,2023-08-23 23:00,23.3,0
108,서울,2023-08-24 00:00,23.2,0
108,서울,2023-08-24 01:00,23.1,
108,서울,2023-08-24 02:00,23.1,
108,서울,2023-08-24 03:00,23,
108,서울,2023-08-24 04:00,22.6,2.3
108,서울,2023-08-24 05:00,22.4,2.2
108,서울,2023-08-24 06:00,22.4,.1
108,서울,2023-08-24 07:00,22.4,.6
108,서울,2023-08-24 08:00,22.9,0
108,서울,2023-08-24 09:00,24.4,
108,서울,2023-08-24 10:00,25.1,
108,서울,2023-08-24 11:00,25.6,
108,서울,2023-08-24 12:00,25.3,
108,서울,2023-08-24 13:00,25.9,
108,서울,2023-08-24 14:00,27.4,
108,서울,2023-08-24 15:00,27.2,0
108,서울,2023-08-24 16:00,27.5,0
108,서울,2023-08-24 17:00,27.3,
108,서울,2023-08-24 18:00,27.1,
108,서울,2023-08-24 19:00,26.7,
108,서울,2023-08-24 20:00,26.3,
108,서울,2023-08-24 21:00,26,
108,서울,2023-08-24 22:00,25.8,
108,서울,2023-08-24 23:00,25.5,
108,서울,2023-08-25 00:00,25.3,
108,서울,2023-08-25 01:00,25.2,
108,서울,2023-08-25 02:00,25.3,
108,서울,2023-08-25 03:00,24.8,
108,서울,2023-08-25 04:00,24.5,0
108,서울,2023-08-25 05:00,24.2,
108,서울,2023-08-25 06:00,24,
108,서울,2023-08-25 07:00,24.2,
108,서울,2023-08-25 08:00,24.9,
108,서울,2023-08-25 09:00,25.8,
108,서울,2023-08-25 10:00,26.8,
108,서울,2023-08-25 11:00,27.6,
108,서울,2023-08-25 12:00,28.3,
108,서울,2023-08-25 13:00,28.9,
108,서울,2023-08-25 14:00,29.5,
108,서울,2023-08-25 15:00,29.7,
108,서울,2023-08-25 16:00,29.8,
108,서울,2023-08-25 17:00,29.4,
108,서울,2023-08-25 18:00,28.6,
108,서울,2023-08-25 19:00,27.2,
108,서울,2023-08-25 20:00,26.4,
108,서울,2023-08-25 21:00,25.7,
108,서울,2023-08-25 22:00,25.5,
108,서울,2023-08-25 23:00,25.1,
108,서울,2023-08-26 00:00,24.9,
108,서울,2023-08-26 01:00,24.7,
108,서울,2023-08-26 02:00,24.7,
108,서울,2023-08-26 03:00,24.7,
108,서울,2023-08-26 04:00,24.4,
108,서울,2023-08-26 05:00,24.1,
108,서울,2023-08-26 06:00,23.6,
108,서울,2023-08-26 07:00,23.4,
108,서울,2023-08-26 08:00,24.3,
108,서울,2023-08-26 09:00,25.6,
108,서울,2023-08-26 10:00,26.6,
108,서울,2023-08-26 11:00,27.4,
108,서울,2023-08-26 12:00,27.7,
108,서울,2023-08-26 13:00,28.8,
108,서울,2023-08-26 14:00,29.8,
108,서울,2023-08-26 15:00,30,
108,서울,2023-08-26 16:00,30.2,
108,서울,2023-08-26 17:00,29.3,
108,서울,2023-08-26 18:00,28.7,
108,서울,2023-08-26 19:00,27.7,
108,서울,2023-08-26 20:00,26.9,
108,서울,2023-08-26 21:00,26.1,
108,서울,2023-08-26 22:00,25.8,
108,서울,2023-08-26 23:00,25.3,
108,서울,2023-08-27 00:00,24.8,
108,서울,2023-08-27 01:00,24.2,
108,서울,2023-08-27 02:00,23.8,
108,서울,2023-08-27 03:00,23.5,
108,서울,2023-08-27 04:00,23.2,
108,서울,2023-08-27 05:00,22.8,
108,서울,2023-08-27 06:00,22.8,
108,서울,2023-08-27 07:00,23.1,
108,서울,2023-08-27 08:00,24.6,
108,서울,2023-08-27 09:00,25.6,
108,서울,2023-08-27 10:00,26.1,
108,서울,2023-08-27 11:00,27.1,
108,서울,2023-08-27 12:00,27.6,
108,서울,2023-08-27 13:00,28.4,
108,서울,2023-08-27 14:00,28.7,
108,서울,2023-08-27 15:00,29.1,
108,서울,2023-08-27 16:00,29.1,
108,서울,2023-08-27 17:00,28.9,
108,서울,2023-08-27 18:00,28,
108,서울,2023-08-27 19:00,27.5,0
108,서울,2023-08-27 20:00,26.9,0
108,서울,2023-08-27 21:00,26.7,0
108,서울,2023-08-27 22:00,26.2,0
108,서울,2023-08-27 23:00,25.9,0
108,서울,2023-08-28 00:00,25.6,0
108,서울,2023-08-28 01:00,24.2,.2
108,서울,2023-08-28 02:00,23.6,.1
108,서울,2023-08-28 03:00,23.2,.1
108,서울,2023-08-28 04:00,22.6,.2
108,서울,2023-08-28 05:00,22.4,0
108,서울,2023-08-28 06:00,22.3,0
108,서울,2023-08-28 07:00,21.7,.8
108,서울,2023-08-28 08:00,21.2,2.5
108,서울,2023-08-28 09:00,20.8,2.2
108,서울,2023-08-28 10:00,20.8,1.7
108,서울,2023-08-28 11:00,20.9,1.6
108,서울,2023-08-28 12:00,21.3,.4
108,서울,2023-08-28 13:00,21.9,0
108,서울,2023-08-28 14:00,22.2,.5
108,서울,2023-08-28 15:00,22.8,0
108,서울,2023-08-28 16:00,23.3,0
108,서울,2023-08-28 17:00,23.5,
108,서울,2023-08-28 18:00,23.5,.1
108,서울,2023-08-28 19:00,23.5,0
108,서울,2023-08-28 20:00,23.6,0
108,서울,2023-08-28 21:00,23.7,0
108,서울,2023-08-28 22:00,23.8,0
108,서울,2023-08-28 23:00,23.9,0
108,서울,2023-08-29 00:00,24,0
108,서울,2023-08-29 01:00,24.1,0
108,서울,2023-08-29 02:00,24.9,0
108,서울,2023-08-29 03:00,24.5,1.3
108,서울,2023-08-29 04:00,24.5,0
108,서울,2023-08-29 05:00,24.7,0
108,서울,2023-08-29 06:00,25,0
108,서울,2023-08-29 07:00,25,.1
108,서울,2023-08-29 08:00,24.5,1.3
108,서울,2023-08-29 09:00,24.7,0
108,서울,2023-08-29 10:00,25.1,0
108,서울,2023-08-29 11:00,25.4,3.1
108,서울,2023-08-29 12:00,24.8,27
108,서울,2023-08-29 13:00,24.5,18
108,서울,2023-08-29 14:00,24.3,3.5
108,서울,2023-08-29 15:00,23.9,.2
108,서울,2023-08-29 16:00,23.7,0
108,서울,2023-08-29 17:00,23.4,.1
108,서울,2023-08-29 18:00,23.1,0
108,서울,2023-08-29 19:00,22.7,.1
108,서울,2023-08-29 20:00,22.6,.1
108,서울,2023-08-29 21:00,22.5,
108,서울,2023-08-29 22:00,22.6,
108,서울,2023-08-29 23:00,22.6,
108,서울,2023-08-30 00:00,22.6,
108,서울,2023-08-30 01:00,22.6,
108,서울,2023-08-30 02:00,22.5,
108,서울,2023-08-30 03:00,22.4,
108,서울,2023-08-30 04:00,22.4,
108,서울,2023-08-30 05:00,22.3,
108,서울,2023-08-30 06:00,22.3,0
108,서울,2023-08-30 07:00,22.4,
108,서울,2023-08-30 08:00,22.5,.2
108,서울,2023-08-30 09:00,22.6,.1
108,서울,2023-08-30 10:00,22.9,0
108,서울,2023-08-30 11:00,23.7,0
108,서울,2023-08-30 12:00,24.2,
108,서울,2023-08-30 13:00,24.5,0
108,서울,2023-08-30 14:00,24.2,.2
108,서울,2023-08-30 15:00,24.1,0
108,서울,2023-08-30 16:00,24.2,0
108,서울,2023-08-30 17:00,23.4,1.9
108,서울,2023-08-30 18:00,23.1,.9
108,서울,2023-08-30 19:00,22.8,.2
108,서울,2023-08-30 20:00,22.6,0
108,서울,2023-08-30 21:00,22.3,
108,서울,2023-08-30 22:00,22.2,0
108,서울,2023-08-30 23:00,21.9,0
108,서울,2023-08-31 00:00,21.5,
108,서울,2023-08-31 01:00,21.4,
108,서울,2023-08-31 02:00,21.3,
108,서울,2023-08-31 03:00,21.2,
108,서울,2023-08-31 04:00,21.2,
108,서울,2023-08-31 05:00,21.1,
108,서울,2023-08-31 06:00,21,
108,서울,2023-08-31 07:00,21.1,
108,서울,2023-08-31 08:00,21.2,
108,서울,2023-08-31 09:00,21.6,
108,서울,2023-08-31 10:00,22.1,
108,서울,2023-08-31 11:00,24.6,
108,서울,2023-08-31 12:00,25.7,
108,서울,2023-08-31 13:00,26.5,
108,서울,2023-08-31 14:00,27.8,
108,서울,2023-08-31 15:00,28.3,
108,서울,2023-08-31 16:00,28.8,
108,서울,2023-08-31 17:00,28.1,
108,서울,2023-08-31 18:00,27.4,
108,서울,2023-08-31 19:00,25.7,
108,서울,2023-08-31 20:00,24.5,
108,서울,2023-08-31 21:00,23.8,
108,서울,2023-08-31 22:00,23.2,
108,서울,2023-08-31 23:00,22.7,
108,서울,2023-09-01 00:00,22.3,
108,서울,2023-09-01 01:00,21.7,
108,서울,2023-09-01 02:00,21.3,
108,서울,2023-09-01 03:00,20.9,
108,서울,2023-09-01 04:00,20.6,
108,서울,2023-09-01 05:00,20.2,
108,서울,2023-09-01 06:00,19.9,
108,서울,2023-09-01 07:00,19.7,
108,서울,2023-09-01 08:00,21.1,
108,서울,2023-09-01 09:00,22.9,
108,서울,2023-09-01 10:00,24.6,
108,서울,2023-09-01 11:00,26.1,
108,서울,2023-09-01 12:00,27.4,
108,서울,2023-09-01 13:00,28,
108,서울,2023-09-01 14:00,28.9,
108,서울,2023-09-01 15:00,29.3,
108,서울,2023-09-01 16:00,29.5,
108,서울,2023-09-01 17:00,28.9,
108,서울,2023-09-01 18:00,27.9,
108,서울,2023-09-01 19:00,26.6,
108,서울,2023-09-01 20:00,25.5,
108,서울,2023-09-01 21:00,24.6,
108,서울,2023-09-01 22:00,23.9,
108,서울,2023-09-01 23:00,23.5,
108,서울,2023-09-02 00:00,22.9,
108,서울,2023-09-02 01:00,22.4,
108,서울,2023-09-02 02:00,21.7,
108,서울,2023-09-02 03:00,21.4,
108,서울,2023-09-02 04:00,20.9,
108,서울,2023-09-02 05:00,20.4,
108,서울,2023-09-02 06:00,19.9,
108,서울,2023-09-02 07:00,19.7,
108,서울,2023-09-02 08:00,21.5,
108,서울,2023-09-02 09:00,23.7,
108,서울,2023-09-02 10:00,25.1,
108,서울,2023-09-02 11:00,26.6,
108,서울,2023-09-02 12:00,28.1,
108,서울,2023-09-02 13:00,29,
108,서울,2023-09-02 14:00,30,
108,서울,2023-09-02 15:00,30.2,
108,서울,2023-09-02 16:00,30.7,
108,서울,2023-09-02 17:00,29.8,
108,서울,2023-09-02 18:00,29.3,
108,서울,2023-09-02 19:00,27.4,
108,서울,2023-09-02 20:00,26.5,
108,서울,2023-09-02 21:00,25.9,
108,서울,2023-09-02 22:00,25.1,
108,서울,2023-09-02 23:00,24.4,
108,서울,2023-09-03 00:00,24.3,
108,서울,2023-09-03 01:00,24.2,
108,서울,2023-09-03 02:00,24.2,
108,서울,2023-09-03 03:00,24.3,
108,서울,2023-09-03 04:00,24,0
108,서울,2023-09-03 05:00,23.7,0
108,서울,2023-09-03 06:00,23.5,
108,서울,2023-09-03 07:00,23.3,
108,서울,2023-09-03 08:00,23.1,.1
108,서울,2023-09-03 09:00,23.2,0
108,서울,2023-09-03 10:00,23.8,0
108,서울,2023-09-03 11:00,24.7,
108,서울,2023-09-03 12:00,26.6,
108,서울,2023-09-03 13:00,28,
108,서울,2023-09-03 14:00,28.6,
108,서울,2023-09-03 15:00,28.6,
108,서울,2023-09-03 16:00,28.1,
108,서울,2023-09-03 17:00,28,
108,서울,2023-09-03 18:00,27.8,
108,서울,2023-09-03 19:00,27.2,
108,서울,2023-09-03 20:00,26.8,
108,서울,2023-09-03 21:00,26.4,
108,서울,2023-09-03 22:00,26.1,
108,서울,2023-09-03 23:00,25.9,
108,서울,2023-09-04 00:00,25.9,
